player,position,team,points,floor,ceiling,sd_pts,ffa_vor,ffa_tier,pos_rank,ffa_adp
Jahmyr Gibbs,RB,DET,380,366,400,14.4,114,1,1,1.4
Bijan Robinson,RB,ATL,380,366,402,14.3,114,2,2,2.4
Puka Nacua,WR,LAR,363,347,384,16.2,102,1,1,5.2
Ja'Marr Chase,WR,CIN,354,339,370,12.2,92.7,1,2,4.1
Jaxon Smith-Njigba,WR,SEA,338,317,357,15.6,76.8,2,3,5.8
Christian McCaffrey,RB,SF,342,325,353,14.3,75.7,2,3,7.4
Trey McBride,TE,ARI,277,249,305,23.6,72.5,1,1,21.2
Jonathan Taylor,RB,IND,338,309,356,19.4,71.8,3,4,7.2
Amon-Ra St. Brown,WR,DET,327,324,330,2.5,65.7,3,4,8.2
Josh Allen,QB,BUF,380,369,402,14,57.2,1,1,21.3
Brock Bowers,TE,LVR,256,247,263,7.88,52,2,2,24.2
Devon Achane,RB,MIA,305,274,335,26.4,39,4,5,12
James Cook,RB,BUF,296,280,318,15.7,29.9,4,6,11.7
Justin Jefferson,WR,MIN,285,255,327,29.5,23.8,3,5,12.2
Chase Brown,RB,CIN,289,270,313,20.4,22.8,4,7,20.4
Derrick Henry,RB,BAL,286,272,313,17.5,20.5,4,8,18.1
CeeDee Lamb,WR,DAL,280,260,303,18.6,19.1,3,6,11
Drake London,WR,ATL,278,245,297,22.1,17.5,4,7,18.9
Lamar Jackson,QB,BAL,340,321,365,20.8,17.2,1,2,37.8
Saquon Barkley,RB,PHI,283,261,300,15,16.6,5,9,15
Brandon Aubrey,K,DAL,121,113,133,7.68,15.1,1,1,87.4
Ashton Jeanty,RB,LVR,280,249,332,33.5,14.1,6,10,19.1
Texans,DST,HOU,107,87.3,127,15.2,12.8,1,1,89.9
Jayden Daniels,QB,WAS,334,314,355,18.6,11.5,1,3,51.6
Broncos,DST,DEN,104,90.3,120,11.4,9.69,1,2,99.2
Seahawks,DST,SEA,104,87.2,130,17.1,9.49,2,3,111
Jalen Hurts,QB,PHI,330,314,346,14.3,7.99,1,4,52.2
Joe Burrow,QB,CIN,329,313,353,19.7,6.42,1,5,57.4
Drake Maye,QB,NE,328,314,350,15.2,5.18,1,6,47.5
Rashee Rice,WR,KC,265,238,307,27.9,4.38,4,8,24
Colston Loveland,TE,CHI,209,187,239,20.7,4.22,2,3,44.3
Chris Olave,WR,NO,265,221,294,30.5,3.71,4,9,30.6
Jason Myers,K,SEA,109,99.9,123,9.57,2.46,1,2,119
George Pickens,WR,DAL,262,233,301,32.4,1.07,4,10,30
Kaimi Fairbairn,K,HOU,107,98.8,118,7.91,0.715,1,3,131
Dak Prescott,QB,DAL,322,303,338,16.7,0,2,7,81.4
Omarion Hampton,RB,LAC,266,242,299,23.3,0,6,11,23.4
A.J. Brown,WR,NE,261,235,285,20.9,0,4,11,25.1
Harold Fannin,TE,CLE,204,169,237,28.9,0,2,4,73.8
Harrison Mevis,K,LAR,106,99,113,6.15,0,1,4,135
Chargers,DST,LAC,94.2,87.2,108,8.57,0,2,4,165
Rams,DST,LAR,93.8,84.2,103,8.49,-0.383,3,5,109
Jaxson Dart,QB,NYG,320,300,342,19.3,-2.67,2,8,78.1
Cam Little,K,JAC,103,98.4,112,5.71,-2.86,1,5,141
Jake Bates,K,DET,103,96,110,6.21,-2.97,1,6,157
Bills,DST,BUF,91.2,87.8,95.3,3.8,-3.07,4,6,169
Tyler Warren,TE,IND,201,180,216,13.8,-3.77,3,5,51
Kenneth Walker III,RB,KC,262,235,281,20.1,-3.89,6,12,23
Lions,DST,DET,90.2,81.2,107,10.8,-3.99,4,7,154
Browns,DST,CLE,90.1,81.1,101,9.07,-4.09,4,8,156
Steelers,DST,PIT,89.6,85.6,94.4,3.68,-4.58,5,9,120
Vikings,DST,MIN,89.2,81.4,105,9.64,-5.02,6,10,169
Will Reichard,K,MIN,101,92.9,108,5.72,-5.09,2,7,167
Nico Collins,WR,HOU,256,234,276,17.1,-5.4,5,12,26.5
Falcons,DST,ATL,88.5,76.2,114,16.2,-5.69,6,11,170
Matthew Stafford,QB,LAR,316,302,344,17.6,-5.97,2,9,84
Matthew Stafford,QB,LAR,316,302,344,17.6,-5.97,2,9,84
Eagles,DST,PHI,88,78.2,97.8,8.66,-6.22,7,12,137
Caleb Williams,QB,CHI,316,288,341,23.2,-6.3,2,10,92.5
