player,position,team,points,floor,ceiling,sd_pts,ffa_vor,ffa_tier,pos_rank,ffa_adp
Jahmyr Gibbs,RB,DET,381,366,400,14.4,218,1,1,1.44
Bijan Robinson,RB,ATL,381,366,403,14.3,218,2,2,2.25
Christian McCaffrey,RB,SF,342,325,353,14.3,179,2,3,7.46
Jonathan Taylor,RB,IND,338,309,357,19.5,176,3,4,6.7
Puka Nacua,WR,LAR,364,348,385,16.2,167,1,1,6.31
Ja'Marr Chase,WR,CIN,354,340,370,12.2,158,1,2,4.34
Devon Achane,RB,MIA,305,274,335,26.4,143,4,5,13.5
Jaxon Smith-Njigba,WR,SEA,339,318,358,15.6,142,2,3,7.55
James Cook,RB,BUF,296,280,319,15.7,134,4,6,9.97
Amon-Ra St. Brown,WR,DET,327,325,331,2.5,131,3,4,9.79
Chase Brown,RB,CIN,289,270,313,20.4,126,4,7,16.1
Derrick Henry,RB,BAL,287,272,313,17.6,124,4,8,17.1
Saquon Barkley,RB,PHI,283,262,300,15,120,5,9,14.9
Ashton Jeanty,RB,LVR,280,249,333,33.6,118,6,10,18.3
Trey McBride,TE,ARI,278,249,306,23.6,107,1,1,27.5
Omarion Hampton,RB,LAC,266,242,299,23.3,104,6,11,20.2
Kenneth Walker III,RB,KC,262,235,281,20.1,99.8,6,12,19.4
Jeremiyah Love,RB,ARI,258,229,283,22.7,95.5,7,13,30.2
Justin Jefferson,WR,MIN,285,255,328,29.5,88.7,3,5,15.6
Breece Hall,RB,NYJ,250,220,281,26.1,87.3,7,14,37.7
Kyren Williams,RB,LAR,249,238,262,9.36,86.7,7,15,30.3
Brock Bowers,TE,LVR,257,248,264,7.88,86.5,2,2,25.3
Josh Jacobs,RB,GB,248,229,268,17.6,86,7,16,36.7
CeeDee Lamb,WR,DAL,281,261,304,18.6,84,3,6,14.5
Travis Etienne,RB,NO,246,232,267,15,83.3,7,17,40.4
Javonte Williams,RB,DAL,245,221,278,26.2,82.4,7,18,32
Drake London,WR,ATL,279,245,298,22.1,82.4,4,7,22.2
Cam Skattebo,RB,NYG,237,223,250,11.3,74.9,8,19,41.6
Bucky Irving,RB,TB,233,211,272,26.1,70.7,8,20,48.9
Rashee Rice,WR,KC,266,239,308,27.9,69.1,4,8,31.9
Chris Olave,WR,NO,265,221,294,30.5,68.4,4,9,31.7
Josh Allen,QB,BUF,370,360,393,15.1,67.9,1,1,17
Quinshon Judkins,RB,CLE,229,201,278,31,67,8,21,51
George Pickens,WR,DAL,263,234,301,32.4,66,4,10,26.9
A.J. Brown,WR,NE,262,236,286,20.9,64.9,4,11,24.3
Nico Collins,WR,HOU,256,234,277,17.1,59.5,5,12,26.7
D'Andre Swift,RB,CHI,219,196,244,18.8,56.4,9,22,46.9
Zay Flowers,WR,BAL,252,237,270,15.2,54.9,5,13,40.6
Malik Nabers,WR,NYG,248,224,275,19.5,51.3,5,14,33.1
Garrett Wilson,WR,NYJ,246,220,264,17,49.6,5,15,48.4
Bhayshul Tuten,RB,JAC,212,195,228,14.8,49.1,9,23,59.2
TreVeyon Henderson,RB,NE,210,193,253,26.3,47.3,9,24,67.3
Tetairoa McMillan,WR,CAR,244,227,268,17.9,47,5,16,45.5
DeVonta Smith,WR,PHI,243,223,256,13.4,46.1,5,17,38.7
David Montgomery,RB,HOU,205,193,227,13.8,42.8,10,25,54.8
Emeka Egbuka,WR,TB,236,214,264,18.9,39.6,6,18,47.3
Colston Loveland,TE,CHI,209,187,240,20.7,38.6,2,3,45
Jaylen Warren,RB,PIT,198,189,208,8.58,35.3,10,26,80.3
Harold Fannin,TE,CLE,205,170,238,28.9,34.4,2,4,78.4
Tee Higgins,WR,CIN,231,210,251,18.7,34.3,6,19,45
Jameson Williams,WR,DET,229,215,250,13.6,32.3,6,20,62.6
Ladd McConkey,WR,LAC,229,214,251,17,32.1,6,21,47.8
Rhamondre Stevenson,RB,NE,193,167,213,18.2,30.8,10,27,76.7
Tyler Warren,TE,IND,201,181,216,13.8,30.6,3,5,57.8
Lamar Jackson,QB,BAL,331,313,359,22,29.4,1,2,37.3
Davante Adams,WR,LAR,226,217,241,9.94,29.2,6,22,55.6
Rico Dowdle,RB,PIT,188,169,201,13.1,25.3,10,28,86.3
D.J. Moore,WR,BUF,221,195,270,30.1,24.6,6,23,57.4
Brandon Aubrey,K,DAL,170,160,178,6.91,24.3,1,1,96.8
Tony Pollard,RB,TEN,186,169,198,11.3,23.3,11,29,85.2
Terry McLaurin,WR,WAS,219,201,238,14.6,22.6,6,24,59.6
Jayden Daniels,QB,WAS,325,304,347,20,22.5,1,3,57.4
Jalen Hurts,QB,PHI,323,308,339,14,21.5,1,4,58.8
Luther Burden,WR,CHI,217,172,271,37.4,20.1,6,25,66.5
Kyle Pitts,TE,ATL,190,185,198,4.75,19.8,3,6,78.7
Jaylen Waddle,WR,DEN,216,201,230,11,19.7,6,26,51.9
Kaimi Fairbairn,K,HOU,164,154,176,11.1,18.7,1,2,132
Jason Myers,K,SEA,164,154,185,13.4,18.4,1,3,131
Rome Odunze,WR,CHI,215,196,245,19.3,18,7,27,66.9
Jadarian Price,RB,SEA,179,108,213,43.3,16.9,11,30,61.8
Joe Burrow,QB,CIN,319,301,344,20.6,16.5,1,5,50
Drake Maye,QB,NE,318,306,339,15,16,2,6,48
RJ Harvey,RB,DEN,178,151,215,27.9,15.9,11,31,99.9
Chuba Hubbard,RB,CAR,178,171,190,7.68,15.8,11,32,100
Courtland Sutton,WR,DEN,212,195,242,19,15,7,28,88.1
Mike Evans,WR,SF,211,188,229,17.1,14.6,7,29,76.7
Travis Kelce,TE,KC,185,173,200,11,14.4,3,7,102
J.K. Dobbins,RB,DEN,176,160,187,10.7,13.1,12,33,93.4
George Kittle,TE,SF,183,156,218,25.3,12.5,4,8,91.5
Dak Prescott,QB,DAL,312,292,329,16.9,10.1,2,7,70.3
Tucker Kraft,TE,GB,180,164,196,16,9.59,4,9,74.6
Cameron Dicker,K,LAC,155,123,166,19.1,9.46,2,4,130
Jaxson Dart,QB,NYG,310,292,334,20.1,8.25,2,8,91.7
DK Metcalf,WR,PIT,203,181,226,16.9,6.17,7,30,89.1
Matthew Stafford,QB,LAR,308,294,334,16.5,5.96,2,9,89.9
Matthew Stafford,QB,LAR,308,294,334,16.5,5.96,2,9,89.9
Marvin Harrison Jr.,WR,ARI,203,172,226,21.2,5.86,7,31,81.9
Caleb Williams,QB,CHI,307,278,333,23.3,5.36,2,10,73.1
Sam LaPorta,TE,DET,176,140,203,24.6,5.08,4,10,80.1
Christian Watson,WR,GB,202,190,213,9.96,5.06,7,32,74.8
Alec Pierce,WR,IND,201,187,220,15.7,4.4,7,33,94.2
Parker Washington,WR,JAC,201,178,226,19.5,4.02,7,34,80.8
Michael Wilson,WR,ARI,200,177,248,30.3,3.72,7,35,98
Mark Andrews,TE,BAL,174,164,187,8.95,3.55,4,11,120
Dallas Goedert,TE,PHI,174,141,210,27,3.39,4,12,105
Texans,DST,HOU,107,87.3,127,15.2,3.29,1,1,101
Chase McLaughlin,K,TB,147,143,153,4.26,1.92,2,5,169
Cam Little,K,JAC,146,140,157,7.48,0.526,2,6,144
Trevor Lawrence,QB,JAC,303,281,327,21.2,0.516,2,11,79.9
Kenneth Gainwell,RB,TB,163,120,194,30,0.319,12,34,110
Broncos,DST,DEN,104,90.3,120,11.4,0.206,1,2,106
Justin Herbert,QB,LAC,302,282,328,23.2,0.105,2,12,81.2
Will Reichard,K,MIN,145,137,157,7.87,0.0121,2,7,175
Jared Goff,QB,DET,302,279,328,21,0,2,13,110
Kyle Monangai,RB,CHI,162,142,175,14.2,0,12,35,110
Brian Thomas Jr.,WR,JAC,197,173,230,23.4,0,7,36,91.1
Isaiah Likely,TE,NYG,170,147,202,24.3,0,4,13,109
Jake Bates,K,DET,145,136,158,9.15,0,2,8,159
Seahawks,DST,SEA,104,87.2,130,17.1,0,2,3,117
Harrison Mevis,K,LAR,145,131,156,11.8,-0.528,2,9,153
Bo Nix,QB,DEN,301,273,327,22.7,-0.97,2,14,97.1
Chris Godwin,WR,TB,196,166,239,28.6,-1.02,7,37,102
Tyler Loop,K,BAL,144,129,161,12.6,-1.09,2,10,170
Jake Ferguson,TE,DAL,169,159,182,9.97,-1.83,5,14,123
Wan'Dale Robinson,WR,TEN,194,160,258,39.6,-2.17,8,38,118
Harrison Butker,K,KC,143,125,153,10.8,-2.75,2,11,157
Wil Lutz,K,DEN,142,134,148,5.19,-3.45,2,12,170
Patrick Mahomes,QB,KC,298,280,328,19.5,-3.77,3,15,97.5
Cairo Santos,K,CHI,140,122,158,13.6,-5.27,2,13,179
Blake Grupe,K,IND,140,129,161,13.4,-5.78,2,14,173
Eddy Pineiro,K,SF,140,115,148,14.8,-5.87,3,15,166
Juwan Johnson,TE,NO,163,146,183,18.1,-7.39,5,15,141
Carnell Tate,WR,TEN,189,159,225,27.1,-8.08,8,39,85.4
Rachaad White,RB,WAS,154,124,170,19,-8.31,12,36,124
Aaron Jones,RB,MIN,154,125,177,20.1,-8.34,12,37,121
Dalton Kincaid,TE,BUF,162,144,183,17.1,-8.93,5,16,119
Chargers,DST,LAC,94.2,87.2,108,8.57,-9.49,2,4,156
Jonathon Brooks,RB,CAR,153,117,178,24.1,-9.54,13,38,89.6
Hunter Henry,TE,NE,161,151,171,9.23,-9.55,5,17,145
Michael Pittman,WR,PIT,187,156,202,19.4,-9.73,8,40,113
Rams,DST,LAR,93.8,84.2,103,8.49,-9.87,3,5,111
Brock Purdy,QB,SF,291,278,303,10.8,-10.7,4,16,97.3
Jacory Croskey-Merritt,RB,WAS,151,142,161,7.33,-11.8,13,39,109
Bills,DST,BUF,91.2,87.8,95.3,3.8,-12.6,4,6,161
Jakobi Meyers,WR,JAC,183,163,206,16.1,-13.5,8,41,129
Lions,DST,DET,90.2,81.2,107,10.8,-13.5,4,7,156
Browns,DST,CLE,90.1,81.1,101,9.07,-13.6,4,8,159
Andres Borregales,K,NE,132,119,144,9.62,-13.8,3,16,179
Steelers,DST,PIT,89.6,85.6,94.4,3.68,-14.1,5,9,143
Jordan Mason,RB,MIN,148,128,168,17.4,-14.4,13,40,107
Tyler Bass,K,BUF,131,105,141,15.4,-14.5,3,17,182
Vikings,DST,MIN,89.2,81.4,105,9.64,-14.5,6,10,145
Chris Boswell,K,PIT,130,124,136,5.81,-15.1,3,18,168
Evan McPherson,K,CIN,130,103,149,17.6,-15.1,3,19,174
Falcons,DST,ATL,88.5,76.2,114,16.2,-15.2,6,11,161
Trey Smack,K,GB,130,91.4,156,24.8,-15.3,3,20,179
Jake Elliott,K,PHI,130,123,137,6.06,-15.6,3,21,164
Nick Folk,K,ATL,130,110,148,14.6,-15.6,3,22,162
Eagles,DST,PHI,88,78.2,97.8,8.66,-15.7,7,12,134
Dalton Schultz,TE,HOU,154,137,167,11.4,-16.3,5,18,159
Brenton Strange,TE,JAC,154,135,184,20.4,-16.6,5,19,160
Ravens,DST,BAL,86.8,77.3,98,8.63,-16.9,7,13,155
Saints,DST,NO,86.7,78.3,96.7,7.59,-17,8,14,162
Jaguars,DST,JAC,86,80.2,94.2,6.54,-17.7,9,15,164
Charlie Smyth,K,NO,126,109,136,15.7,-19.1,3,23,NA
Patriots,DST,NE,84.5,69.6,95.9,11.6,-19.2,10,16,152
T.J. Hockenson,TE,MIN,151,134,171,16.7,-19.5,6,20,148
Tyreek Hill,WR,FA,177,NA,NA,NA,-19.7,8,42,131
Jordan Addison,WR,MIN,177,148,217,26.2,-20,8,43,115
Josh Downs,WR,IND,177,162,196,14.1,-20.1,8,44,121
Bears,DST,CHI,83,70.6,90.9,8.62,-20.7,10,17,164
Chad Ryland,K,ARI,125,120,129,3.79,-20.8,4,24,170
Titans,DST,TEN,82.6,65,90.7,11.7,-21.1,10,18,170
Commanders,DST,WAS,82.5,64.6,96.1,14.1,-21.2,11,19,170
Jayden Reed,WR,GB,175,127,214,33.1,-21.6,8,45,124
Riley Patterson,K,MIA,124,103,134,12.9,-21.6,4,25,170
Tyjae Spears,RB,TEN,141,118,158,16.4,-21.8,13,41,144
Tyler Shough,QB,NO,280,260,303,16.7,-22,4,17,136
Baker Mayfield,QB,TB,280,255,306,24.2,-22.3,4,18,126
Stefon Diggs,WR,WAS,174,166,190,9.7,-22.3,9,46,116
Joey Slye,K,TEN,123,114,134,9.86,-22.5,4,26,170
Giants,DST,NYG,81.2,67.5,100,12.9,-22.5,11,20,164
Bengals,DST,CIN,80.9,72.2,90.7,8.02,-22.9,12,21,170
Blake Corum,RB,LAR,139,129,162,14,-23.5,14,42,107
Packers,DST,GB,80,66.4,95.9,12.9,-23.7,13,22,161
Drew Stevens,K,WAS,120,97.7,135,14.6,-24.9,4,27,170
Chiefs,DST,KC,78.8,69.2,87.6,8.13,-25,14,23,153
Colts,DST,IND,78.1,67.4,86.6,7.78,-25.6,14,24,170
Buccaneers,DST,TB,78.1,68.3,90.5,9.11,-25.6,14,25,170
Quentin Johnston,WR,LAC,171,138,196,24.9,-25.7,9,47,114
Cowboys,DST,DAL,78,56.3,99.8,16.7,-25.8,15,26,168
Kyler Murray,QB,MIN,275,245,314,26.2,-27.4,4,19,124
Panthers,DST,CAR,75.9,63.6,82.9,8.4,-27.8,16,27,170
Cardinals,DST,ARI,74.7,58.6,90.8,13.5,-29,16,28,170
Ryan Fitzgerald,K,CAR,116,95.2,127,13.4,-29.1,4,28,170
Dolphins,DST,MIA,74.5,55.6,91.6,15.6,-29.2,16,29,170
Raiders,DST,LVR,74.5,59.9,85.7,12.5,-29.2,17,30,170
Pat Freiermuth,TE,PIT,141,130,155,9.6,-29.6,6,21,159
Romeo Doubs,WR,NE,167,135,198,25,-29.7,9,48,138
Xavier Worthy,WR,KC,166,131,183,21.9,-30.2,9,49,136
Xavier Worthy,WR,KC,166,131,183,21.9,-30.2,9,49,136
Jets,DST,NYJ,72.9,55.3,90.9,16.1,-30.8,18,31,170
Khalil Shakir,WR,BUF,166,151,175,11.1,-30.9,9,50,141
Deebo Samuel,WR,SF,165,135,195,24.3,-31.2,9,51,133
Chigoziem Okonkwo,TE,WAS,139,122,165,17.5,-31.2,6,22,165
Woody Marks,RB,HOU,131,121,141,8.15,-31.5,14,43,133
Jordan Love,QB,GB,270,258,296,16.5,-31.6,5,20,134
Kenyon Sadiq,TE,NYJ,138,99.2,167,27.2,-32.1,6,23,154
49ers,DST,SF,71.1,46.5,91.2,18,-32.6,18,32,162
Daniel Carlson,K,NO,112,58.6,132,37,-33.5,5,29,170
Zach Charbonnet,RB,SEA,128,107,159,21.1,-34.4,15,44,136
Greg Dulcich,TE,MIA,136,121,147,9.84,-34.6,7,24,170
Andre Szmyt,K,CLE,110,86.2,123,15.4,-35,5,30,170
Matt Gay,K,LVR,110,83.9,123,16.4,-35.3,5,31,170
Cade Otton,TE,TB,134,104,164,25.2,-36.2,7,25,178
Matthew Golden,WR,GB,160,141,189,19.3,-36.7,9,52,125
Jerry Jeudy,WR,CLE,160,136,183,20.3,-36.9,9,53,167
Jason Sanders,K,NYJ,107,73.8,135,29.6,-38.8,5,32,170
Malik Willis,QB,MIA,262,240,279,15.7,-39.6,5,21,143
C.J. Stroud,QB,HOU,259,234,288,22.4,-42.6,5,22,144
Rashid Shaheed,WR,SEA,154,98.7,204,41.2,-42.9,9,54,143
KC Concepcion,WR,CLE,154,86.1,190,42.7,-43.1,9,55,132
Sam Darnold,QB,SEA,258,238,283,17.6,-43.6,5,23,140
Jalen Coker,WR,CAR,152,132,173,19.6,-44.3,10,56,149
AJ Barner,TE,SEA,126,105,140,15,-44.5,7,26,156
David Njoku,TE,LAC,124,101,170,28.4,-46.7,8,27,165
Tyrone Tracy,RB,NYG,114,47.8,153,42.9,-48,15,45,147
Bryce Young,QB,CAR,253,231,289,24.4,-48.6,6,24,135
Alvin Kamara,RB,NO,110,83.1,123,16.6,-51.9,15,46,156
Gunnar Helm,TE,TEN,118,102,138,14.9,-52.1,8,28,176
Isiah Pacheco,RB,DET,110,88.9,129,19.8,-52.6,15,47,149
Oronde Gadsden,TE,LAC,115,80.8,140,27.3,-55.6,8,29,169
Tre Tucker,WR,LVR,140,128,150,8.54,-56.6,10,57,165
Mike Gesicki,TE,CIN,112,89,123,14.5,-58.4,8,30,170
Makai Lemon,WR,PHI,138,40.7,195,60.7,-58.5,10,58,125
Evan Engram,TE,DEN,112,91.8,125,14.2,-58.7,9,31,198
Calvin Ridley,WR,TEN,138,84.1,190,42.2,-59,10,59,178
Keenan Allen,WR,IND,138,121,162,16.2,-59,10,60,156
Tyler Allgeier,RB,ARI,103,88.1,119,14.7,-59.3,16,48,142
MarShawn Lloyd,RB,GB,102,88.3,136,21,-60.6,16,49,137
De'Zhaun Stribling,WR,SF,136,24.6,186,67.8,-60.6,10,61,120
Justice Hill,RB,BAL,99.9,84.6,115,12.8,-62.5,16,50,180
Chris Rodriguez,RB,JAC,99.8,70.9,121,19.6,-62.6,16,51,138
Dylan Sampson,RB,CLE,99.7,81.3,134,23.9,-62.7,16,52,165
Jauan Jennings,WR,MIN,134,102,175,31.3,-62.8,10,62,177
Jordyn Tyson,WR,NO,134,87.8,218,52.7,-62.8,10,63,139
Denzel Boston,WR,CLE,133,80.3,178,41.1,-63.8,10,64,159
Jalen McMillan,WR,TB,132,121,138,7.39,-64.4,11,65,164
Cam Ward,QB,TEN,235,212,271,25.5,-66.9,6,25,149
Darren Waller,TE,CAR,103,59.2,130,31.6,-67.5,9,32,170
Malik Washington,WR,MIA,129,112,156,23.5,-67.7,11,66,163
Malik Washington,WR,MIA,129,112,156,23.5,-67.7,11,66,163
Jalen Nailor,WR,LVR,129,92.5,176,31.9,-67.8,11,67,162
Jacoby Brissett,QB,ARI,233,193,286,36.2,-69.1,6,26,154
Colby Parkinson,TE,LAR,101,75.1,150,33.8,-69.7,9,33,164
Aaron Rodgers,QB,PIT,231,199,280,31.5,-71.3,7,27,137
Mason Taylor,TE,NYJ,99.2,68,127,23,-71.3,9,34,170
Rashod Bateman,WR,BAL,125,97.2,148,21.6,-71.7,11,68,184
Daniel Jones,QB,IND,230,116,276,68.8,-72,7,28,142
Terrance Ferguson,TE,LAR,98.3,34.8,135,41.2,-72.2,10,35,161
Ty Johnson,RB,BUF,88.3,78.2,104,11.1,-74.1,16,53,171
Brian Robinson,RB,ATL,86.9,75.1,96.2,8.96,-75.5,17,54,157
Kayshon Boutte,WR,HOU,120,78.2,181,42.4,-77.1,11,69,172
Devaughn Vele,WR,NO,119,87,153,26.3,-77.7,11,70,181
Mike Washington Jr.,RB,LVR,83.5,60.9,135,32.3,-78.9,17,55,131
Adonai Mitchell,WR,NYJ,117,92.9,150,23.4,-79.7,11,71,179
Devin Singletary,RB,NYG,82,76.3,87.7,8.34,-80.4,17,56,197
Cooper Kupp,WR,SEA,116,98.3,150,22.7,-80.5,11,72,175
James Conner,RB,ARI,81.8,38.1,124,33.5,-80.6,17,57,183
Samaje Perine,RB,CIN,80.8,70,97.2,13.5,-81.6,17,58,196
Alexander Mattison,RB,MIA,80.5,NA,NA,NA,-81.9,17,59,NA
Braelon Allen,RB,NYJ,79.6,60.1,116,22.7,-82.8,17,60,158
Kareem Hunt,RB,FA,79.1,NA,NA,NA,-83.4,17,61,NA
Tank Bigsby,RB,PHI,79,62.8,102,16.8,-83.4,17,62,155
Antonio Gibson,RB,FA,78.8,NA,NA,NA,-83.6,17,63,NA
Michael Mayer,TE,LVR,85.2,75.1,103,12.4,-85.3,10,36,170
Keaton Mitchell,RB,LAC,76.7,52.5,92.9,16.9,-85.7,18,64,150
Geno Smith,QB,NYJ,214,195,236,16,-88.2,8,29,154
Kimani Vidal,RB,LAC,69.2,37.9,96.1,22.9,-93.2,18,65,180
Michael Carter,RB,TEN,67.9,49.7,86.2,26.5,-94.5,18,66,NA
Joe Mixon,RB,FA,67.2,NA,NA,NA,-95.2,18,67,NA
Jonah Coleman,RB,DEN,66.8,27.9,89.6,26.5,-95.6,18,68,143
Ray Davis,RB,BUF,65.1,36.7,84.3,20.9,-97.3,18,69,175
Zonovan Knight,RB,ARI,64.1,51.3,77,13.2,-98.3,18,70,170
Jordan James,RB,SF,64,28.2,120,36.9,-98.4,18,71,189
Emari Demercado,RB,KC,63,40.7,101,24.2,-99.4,18,72,170
Fernando Mendoza,QB,LVR,176,145,213,26.4,-126,9,30,137
Tua Tagovailoa,QB,ATL,131,91,204,46.4,-171,10,31,164
Deshaun Watson,QB,CLE,127,65.9,200,59.8,-175,11,32,168
