team,position,sos_3wk
NYG,QB,1
PHI,QB,2
DAL,QB,3
BAL,QB,4
MIN,QB,5
TEN,QB,6
CIN,QB,7
WAS,QB,8
NYJ,QB,9
SEA,QB,10
NO,QB,11
SF,QB,12
NE,QB,13
CLE,QB,14
PIT,QB,15
KC,QB,16
LAR,QB,17
CAR,QB,18
HOU,QB,19
ATL,QB,20
DEN,QB,21
MIA,QB,22
GB,QB,23
DET,QB,24
IND,QB,25
LAC,QB,26
LV,QB,27
ARI,QB,28
BUF,QB,29
JAX,QB,30
TB,QB,31
CHI,QB,32
TEN,RB,1
LAC,RB,2
DET,RB,3
DAL,RB,4
HOU,RB,5
SEA,RB,6
SF,RB,7
TB,RB,8
GB,RB,9
PHI,RB,10
PIT,RB,11
NYG,RB,12
CHI,RB,13
BAL,RB,14
WAS,RB,15
LAR,RB,16
LV,RB,17
CAR,RB,18
ATL,RB,19
MIN,RB,20
MIA,RB,21
NO,RB,22
CLE,RB,23
NYJ,RB,24
KC,RB,25
CIN,RB,26
IND,RB,27
ARI,RB,28
JAX,RB,29
BUF,RB,30
DEN,RB,31
NE,RB,32
NYG,WR,1
PHI,WR,2
NO,WR,3
DAL,WR,4
BAL,WR,5
NYJ,WR,6
MIN,WR,7
CAR,WR,8
SEA,WR,9
ATL,WR,10
SF,WR,11
WAS,WR,12
CIN,WR,13
NE,WR,14
MIA,WR,15
KC,WR,16
DEN,WR,17
LAR,WR,18
TEN,WR,19
BUF,WR,20
IND,WR,21
LAC,WR,22
CLE,WR,23
PIT,WR,24
HOU,WR,25
GB,WR,26
ARI,WR,27
DET,WR,28
LV,WR,29
JAX,WR,30
CHI,WR,31
TB,WR,32
SEA,TE,1
NE,TE,2
SF,TE,3
KC,TE,4
HOU,TE,5
TB,TE,6
PIT,TE,7
CIN,TE,8
CLE,TE,9
PHI,TE,10
ATL,TE,11
MIN,TE,12
ARI,TE,13
LAR,TE,14
JAX,TE,15
BAL,TE,16
NYJ,TE,17
LV,TE,18
NYG,TE,19
DAL,TE,20
DEN,TE,21
BUF,TE,22
MIA,TE,23
NO,TE,24
LAC,TE,25
CAR,TE,26
WAS,TE,27
GB,TE,28
DET,TE,29
IND,TE,30
TEN,TE,31
CHI,TE,32
