player,position,proj_ppr,proj_std,rec,sources_used
Josh Allen,BUF,QB,369.5,369.5,0.0,3
Lamar Jackson,BAL,QB,334.0,334.0,0.0,3
Jalen Hurts,PHI,QB,327.1,327.1,0.0,3
Jayden Daniels,WAS,QB,326.2,326.2,0.0,3
Drake Maye,NE,QB,321.9,321.9,0.0,3
Joe Burrow,CIN,QB,320.4,320.4,0.0,3
Jaxson Dart,NYG,QB,317.2,317.2,0.0,3
Trevor Lawrence,JAX,QB,315.7,315.7,0.0,3
Caleb Williams,CHI,QB,315.5,315.5,0.0,3
Dak Prescott,DAL,QB,308.3,308.3,0.0,3
Bo Nix,DEN,QB,306.2,306.2,0.0,3
Justin Herbert,LAC,QB,304.5,304.5,0.0,3
Jared Goff,DET,QB,303.9,303.9,0.0,3
Brock Purdy,SF,QB,303.8,303.8,0.0,3
Matthew Stafford,LAR,QB,298.9,298.9,0.0,3
Kyler Murray,MIN,QB,298.4,298.4,0.0,3
Tyler Shough,NO,QB,297.1,297.1,0.0,3
Baker Mayfield,TB,QB,296.3,296.3,0.0,3
Patrick Mahomes,KC,QB,295.2,295.2,0.0,3
Malik Willis,MIA,QB,286.7,286.7,0.0,3
Jordan Love,GB,QB,269.0,269.0,0.0,3
C.J. Stroud,HOU,QB,262.4,262.4,0.0,3
Cam Ward,TEN,QB,257.8,257.8,0.0,3
Sam Darnold,SEA,QB,250.9,250.9,0.0,3
Daniel Jones,IND,QB,242.2,242.2,0.0,3
Bryce Young,CAR,QB,237.3,237.3,0.0,3
Aaron Rodgers,PIT,QB,232.2,232.2,0.0,3
Geno Smith,NYJ,QB,225.2,225.2,0.0,3
Jacoby Brissett,ARI,QB,211.1,211.1,0.0,3
Tua Tagovailoa,ATL,QB,156.7,156.7,0.0,3
Shedeur Sanders,CLE,QB,148.8,148.8,0.0,3
Kirk Cousins,LV,QB,118.1,118.1,0.0,3
Fernando Mendoza,LV,QB,107.4,107.4,0.0,3
Michael Penix Jr.,ATL,QB,96.3,96.3,0.0,3
Deshaun Watson,CLE,QB,58.5,58.5,0.0,3
Carson Beck,ARI,QB,56.0,56.0,0.0,2
Jahmyr Gibbs,DET,RB,374.6,300.1,74.5,3
Bijan Robinson,ATL,RB,361.4,287.4,74.0,3
Christian McCaffrey,SF,RB,343.6,263.8,79.8,3
James Cook III,BUF,RB,295.0,258.2,36.8,3
De'Von Achane,MIA,RB,291.9,228.1,63.8,3
Jonathan Taylor,IND,RB,290.5,249.8,40.8,3
Ashton Jeanty,LV,RB,269.4,216.9,52.5,3
Kenneth Walker,KC,RB,265.7,225.2,40.5,3
Chase Brown,CIN,RB,259.6,200.4,59.2,3
Omarion Hampton,LAC,RB,253.6,209.4,44.2,3
Saquon Barkley,PHI,RB,243.8,207.1,36.8,3
Derrick Henry,BAL,RB,239.8,224.0,15.8,3
Josh Jacobs,GB,RB,239.0,199.0,40.0,3
Jeremiyah Love,ARI,RB,228.8,187.2,41.5,3
Breece Hall,NYJ,RB,227.4,184.7,42.8,3
Cam Skattebo,NYG,RB,225.5,184.0,41.5,3
Kyren Williams,LAR,RB,225.3,191.6,33.8,3
D'Andre Swift,CHI,RB,223.6,184.4,39.2,3
Javonte Williams,DAL,RB,222.3,186.5,35.8,3
Bucky Irving,TB,RB,218.1,178.6,39.5,3
Bhayshul Tuten,JAX,RB,210.2,174.2,36.0,3
Travis Etienne Jr.,NO,RB,207.2,174.2,33.0,3
Quinshon Judkins,CLE,RB,205.9,176.9,29.0,3
TreVeyon Henderson,NE,RB,205.8,172.1,33.8,3
Rico Dowdle,PIT,RB,188.8,158.3,30.5,3
David Montgomery,HOU,RB,188.5,163.7,24.8,3
Jadarian Price,SEA,RB,185.7,164.9,20.8,3
Rhamondre Stevenson,NE,RB,179.5,145.7,33.8,3
Jacory Croskey-Merritt,WAS,RB,178.9,157.2,21.8,3
Jaylen Warren,PIT,RB,175.1,135.6,39.5,3
Kenny Gainwell,TB,RB,173.2,127.2,46.0,3
Chuba Hubbard,CAR,RB,168.4,139.4,29.0,3
Tony Pollard,TEN,RB,162.8,134.8,28.0,3
Tyjae Spears,TEN,RB,160.4,113.9,46.5,3
Jonathon Brooks,CAR,RB,158.0,129.0,29.0,3
Kyle Monangai,CHI,RB,157.2,135.9,21.2,3
Jordan Mason,MIN,RB,155.3,138.3,17.0,3
J.K. Dobbins,DEN,RB,154.1,136.1,18.0,3
Rachaad White,WAS,RB,151.5,109.2,42.2,3
Blake Corum,LAR,RB,151.2,129.4,21.8,3
Tyrone Tracy Jr.,NYG,RB,145.6,116.8,28.8,3
RJ Harvey,DEN,RB,136.9,103.9,33.0,3
Aaron Jones Sr.,MIN,RB,135.0,106.5,28.5,3
Woody Marks,HOU,RB,118.4,94.6,23.8,3
Chris Rodriguez Jr.,JAX,RB,111.6,100.6,11.0,3
Isiah Pacheco,DET,RB,110.8,89.8,21.0,3
